update_time,state,jurisdiction,Pfizer_1,Pfizer_2,Pfizer_2_affected,Pfizer_3,Moderna_1,Moderna_2,December_doses
2020-12-19 05:13:08,Marshall Islands,Territory,,,,,,,
2020-12-19 05:13:08,Maryland,State,50700.0,,Yes,,104300.0,,155000.0
2020-12-19 05:13:08,Massachusetts,State,59475.0,42900.0,Yes,,120000.0,,300000.0
2020-12-19 05:13:08,Michigan,State,84825.0,60000.0,Yes,,173600.0,,650000.0
2020-12-19 05:13:08,Micronesia,Territory,,,,,,,
2020-12-19 05:13:08,Minnesota,State,46800.0,,,,100000.0,,183400.0
2020-12-19 05:13:08,Mississippi,State,25350.0,,,,50000.0,,
2020-12-19 05:13:08,Missouri,State,51675.0,63675.0,Yes,,105300.0,,156975.0
2020-12-19 05:13:08,Montana,State,9750.0,,Yes,,18300.0,,28050.0
2020-12-19 05:13:08,Nebraska,State,16575.0,19500.0,Yes,,32100.0,,100000.0
2020-12-19 05:13:08,Nevada,State,25350.0,17550.0,Yes,,72500.0,,164000.0
2020-12-19 05:13:08,New Hampshire,State,12675.0,9000.0,Yes,,20000.0,,32675.0
2020-12-19 05:13:08,New Jersey,State,76050.0,,Yes,,154000.0,,300000.0
2020-12-19 05:13:08,New Mexico,State,17550.0,,,,,,35100.0
2020-12-19 05:13:08,New York,State,170000.0,,,,346000.0,,516000.0
2020-12-19 05:13:08,New York City,City,73125.0,,,,,,
2020-12-19 05:13:08,North Carolina,State,85800.0,,,,175000.0,,260800.0
2020-12-19 05:13:08,North Dakota,State,6825.0,,,,13200.0,,20025.0
2020-12-19 05:13:08,Northern Mariana Islands,Territory,5850.0,,,,,,
2020-12-19 05:13:08,Ohio,State,98475.0,123000.0,,148000.0,201900.0,89000.0,660375.0
2020-12-19 05:13:08,Oklahoma,State,33150.0,24000.0,Yes,,66000.0,29000.0,152150.0
2020-12-19 05:13:08,Oregon,State,35100.0,25350.0,Yes,48750.0,71900.0,31700.0,212800.0
2020-12-19 05:13:08,Palau,Territory,,,,,,,
2020-12-19 05:13:08,Pennsylvania,State,110000.0,,,,100000.0,,
2020-12-19 05:13:08,Philadelphia,City,13650.0,,,,,,
2020-12-19 05:13:08,Puerto Rico,Territory,30225.0,,,,143000.0,,203450.0
2020-12-19 05:13:08,Rhode Island,State,9750.0,6825.0,Yes,,19000.0,,35575.0
2020-12-19 05:13:08,San Antonio,City,56000.0,,,,,,
2020-12-19 05:13:08,South Carolina,State,42900.0,,,,,,85800.0
2020-12-19 05:13:08,South Dakota,State,7800.0,,,,14600.0,,22400.0
2020-12-19 05:13:08,Tennessee,State,56550.0,,,,115000.0,,228100.0
2020-12-19 05:13:08,Texas,State,224250.0,159900.0,Yes,,460500.0,,1400000.0
2020-12-19 05:13:08,Utah,State,23400.0,,,,47600.0,27000.0,98000.0
2020-12-19 05:13:08,Vermont,State,5850.0,4875.0,Yes,,11400.0,5000.0,34000.0
2020-12-19 05:13:08,Veterans Affairs,Federal Agency,73000.0,,,,122000.0,,195000.0
2020-12-19 05:13:08,Virgin Islands,Territory,975.0,,,,,,
2020-12-19 05:13:08,Virginia,State,72150.0,370650.0,Yes,,146400.0,,480000.0
2020-12-19 05:13:08,Washington,State,62400.0,44850.0,Yes,85800.0,128000.0,55800.0,376850.0
2020-12-19 05:13:08,West Virginia,State,16575.0,,,,32600.0,,49175.0
2020-12-19 05:13:08,Wisconsin,State,49725.0,35100.0,Yes,,100000.0,,184825.0
2020-12-19 05:13:08,Wyoming,State,4875.0,1950.0,Yes,,10000.0,3500.0,20325.0
